Title,Author1,Author2,Author3,Author4,Author5,Link,Summary,Cited By
Implementasi Algoritma AES 128 dan SHA–256 dalam Pengkodean pada Sebagian Frame Video CCTV MPEG-2,EP Nugroho,,,,,http://jatikom.cs.upi.edu/index.php/jatikom/article/view/11,"AY Mulyadi, EP Nugroho… - JATIKOM: Jurnal Aplikasi …, 2018 - jatikom.cs.upi.edu",2
PENERAPAN STRATEGI PEMBELAJARAN TANDUR UNTUK MENINGKATKAN HASIL BELAJAR SISWA PADAMATA PELAJARAN TEKNOLOGI INFORMASI DAN …,EA Nurdin,,,,,http://jurnal.upi.edu/ptik-ilkom/view/811/PENERAPAN%20STRATEGI%20PEMBELAJARAN%20TANDUR%20UNTUK%20MENINGKATKAN%20HASIL%20BELAJAR%20SISWA%20PADAMATA%20PELAJARAN%20TEKNOLOGI%20INFORMASI%20DAN%20KOMUNIKASI,"EA Nurdin, RAO Wahyudin - ptik-ilkom, 2011 - jurnal.upi.edu",1
Implementasi Pbi Pada Media Berbasis Game Untuk Peningkatan Kognitif Siswa Pada Pemrograman Dasar,EP Nugroho,,,,,http://publikasi.dinus.ac.id/index.php/semnastik/article/view/3000,"EP Nugroho, M Gustiani… - SEMINAR NASIONAL …, 2019 - publikasi.dinus.ac.id",0
Research classification in strategic information system planning development: A critical review,A Wahyudin,ZA Hasibuan,,,,https://ieeexplore.ieee.org/abstract/document/7407819/,"A Wahyudin, ZA Hasibuan - 2015 International Conference on …, 2015 - ieeexplore.ieee.org",14
PENERAPAN METODE HILL CLIMBING UNTUK MENENTUKAN MENU MAKANAN BERDASARKAN PENYAKIT YANG DIDERITA,A Wahyudin,,,,,http://jurnal.upi.edu/tik/view/977/PENERAPAN%20METODE%20HILL%20CLIMBING%20UNTUK%20MENENTUKAN%20MENU%20MAKANAN%20BERDASARKAN%20PENYAKIT%20YANG%20DIDERITA,"W Setiawan, A Wahyudin, H Desiana - tik, 2011 - jurnal.upi.edu",0
LAGU-LAGU KERONCONG PERJUANGAN INDONESIA 1942-1946,,,,,,http://repository.upi.edu/id/eprint/21205,IE Nugraha - 2016 - repository.upi.edu,0
RANCANG BANGUN SISTEM PENDUKUNG KEPUTUSAN PENENTUAN TEMA SKRIPSI MENGGUNAKAN METODE TECHNIQUE FOR ORDER PREFERENCE BY …,,,,,,http://jurnal.upi.edu/tik/view/974/RANCANG%20BANGUN%20SISTEM%20PENDUKUNG%20KEPUTUSAN%20PENENTUAN%20TEMA%20SKRIPSI%20MENGGUNAKAN%20METODE%20TECHNIQUE%20FOR%20ORDER%20PREFERENCE%20BY%20SIMILARITY%20TO%20IDEAL%20SOLUTION%20(TOPSIS)%20PADA%20PROGRAM%20STUDI%20ILMU%20KOMPUTER,"AW Rasim, R Aperian - tik, 2011 - jurnal.upi.edu",0
EFEKTIVITAS PENGGUNAAN METODE EKSPERIMEN VERIFIKASI BERBASIS MULTIMEDIA INTERAKTIF TERHADAP HASIL BELAJAR SISWA PADA MATA …,EAN Munir,,,,,http://jurnal.upi.edu/ptik-ilkom/view/815/EFEKTIVITAS%20PENGGUNAAN%20METODE%20EKSPERIMEN%20VERIFIKASI%20BERBASIS%20MULTIMEDIA%20INTERAKTIF%20TERHADAP%20HASIL%20BELAJAR%20SISWA%20PADA%20MATA%20PELAJARAN%20TIK(Studi%20Kasus%20Eksperimen%20di%20SMAN%202%20Cimahi),"EAN Munir - ptik-ilkom, 2011 - jurnal.upi.edu",0
PENGEMBANGAN SISTEM E LEARNING BERBASIS KURIKULUM TINGKAT SATUAN PENDIDIKAN,EA Nurdin,M Suryani,,,,http://jurnal.upi.edu/ptik-ilkom/view/817/PENGEMBANGAN%20SISTEM%20E-LEARNING%20BERBASIS%20KURIKULUM%20TINGKAT%20SATUAN%20PENDIDIKAN,"H Wara, EA Nurdin, M Suryani - ptik-ilkom, 2011 - jurnal.upi.edu",0
PENGUKURAN STATUS KESEHATAN MASYARAKAT BERDASARKAN KECUKUPAN GIZI DENGAN MENGGUNAKAN METODE FUZZY LOGIC,AW Wahyudin,,,,,http://jurnal.upi.edu/tik/view/975/PENGUKURAN%20STATUS%20KESEHATAN%20MASYARAKAT%20BERDASARKAN%20KECUKUPAN%20GIZI%20DENGAN%20MENGGUNAKAN%20METODE%20FUZZY%20LOGIC,"AW Wahyudin, DA Afriliandy - tik, 2011 - jurnal.upi.edu",0
